name,sex
amabel,0
amabelle,0
amadeus,1
amado,1
amalea,0
amalee,0
amaleta,0
amalia,0
amalie,0
amalita,0
amalle,0
amanda,0
amanda,1
amandi,0
amandie,0
amandy,0
amani,0
amara,0
amare,1
amargo,0
amari,0
amari,1
amarion,1
amaris,0
amasa,1
amata,0
amaya,0
amber,0
amberly,0
ambers,1
ambros,1
ambrose,1
ambrosi,1
ambrosia,0
ambrosio,1
ambrosius,1
ambur,0
ame,0
amelia,0
amelie,0
amelina,0
ameline,0
amelita,0
america,0
americo,1
amerigo,1
amery,1
amey,0
ami,0
amiah,0
amie,0
amil,1
amin,1
amina,0
amir,1
amira,0
amirah,0
amit,1
amity,0
amiya,0
amiyah,0
amma,0
ammamaria,0
ammie,0
ammon,1
amon,1
amory,1
amos,1
amparo,0
amy,0
amy,1
amya,0
ana,0
anabel,0
anabella,0
anabelle,0
anahi,0
anais,0
analiese,0
analise,0
anallese,0
anallise,0
ananias,1
anastacia,0
anastacio,1
anastasia,0
anastasie,0
anastassia,0
anatol,1
anatola,0
anatole,1
anatollo,1
anatoly,1
anaya,0
ancel,1
ancil,1
andee,0
anders,1
anderson,1
andi,0
andie,0
andie,1
andon,1
andonis,1
andra,0
andra,1
andrae,1
andre,1
andrea,0
andrea,1
andreana,0
andreas,1
andree,0
andrei,0
andrej,1
andres,1
andrew,0
andrew,1
andrey,1
andri,1
andria,0
andriana,0
andriette,0
andromache,0
andromeda,0
andros,1
andrus,1
andrzej,1
andy,0
andy,1
anestassia,0
anet,0
anett,0
anetta,0
anette,0
anfernee,1
ange,0
angel,0
angel,1
angela,0
angela,1
angele,0
angeles,0
angelia,0
angelic,0
angelica,0
angelico,1
angelika,0
angelina,0
angeline,0
angelique,0
angelita,0
angella,0
angelle,0
angelo,1
angie,0
angie,1
angil,0
angus,1
angy,0
ania,0
anibal,1
anica,0
anice,0
anie,0
anika,0
anissa,0
anita,0
anitra,0
aniya,0
aniyah,0
anja,0
anjali,0
anjanette,0
anjela,0
anjelica,0
ann,0
ann,1
anna,0
anna,1
annabal,0
annabel,0
annabela,0
annabell,0
annabella,0
annabelle,0
annadiana,0
annadiane,0
annalee,0
annalena,0
annaliese,0
annalisa,0
annalise,0
annalyse,0
annamae,0
annamari,0
annamaria,0
annamarie,0
anne,0
annecorinne,0
anneliese,0
annelise,0
annemar,0
annemarie,0
anner,0
annetta,0
annette,0
anni,0
annice,0
annie,0
annie,1
annika,0
annis,0
annissa,0
annmari,0
annmaria,0
annmarie,0
annnora,0
annora,0
anny,0
anona,0
ansel,1
ansell,1
anselm,1
anselma,0
ansley,0
anson,1
anstice,0
anthe,0
anthea,0
anthia,0
anthoney,1
anthony,0
anthony,1
antin,1
antione,1
antionette,0
antoine,1
antoinette,0
anton,1
antone,1
antonella,0
antonetta,0
antonette,0
antoni,1
antonia,0
antonia,1
antonie,0
antonietta,0
antonin,1
antonina,0
antonino,1
antonio,1
antonius,1
antony,1
antwain,1
antwan,1
antwon,1
anurag,1
anwar,1
anya,0
aphrodite,0
apollo,1
apostolos,1
appolonia,0
april,0
aprilette,0
ara,0
arabel,0
arabela,0
arabele,0
arabella,0
arabelle,0
araceli,0
aracely,0
arah,0
aram,1
araminta,0
arba,1
arbie,1
arch,1
archer,1
archibald,1
archibold,1
archie,0
archie,1
archon,1
archy,1
arda,0
ardath,0
ardeen,0
ardelia,0
ardelis,0
ardell,0
ardell,1
ardella,0
ardelle,0
arden,0
arden,1
ardene,0
ardenia,0
ardeth,0
ardine,0
ardis,0
ardith,0
ardra,0
ardyce,0
ardys,0
ardyth,0
arel,1
areli,0
arely,0
aretha,0
argie,0
ari,1
aria,0
ariadne,0
ariana,0
ariane,0
arianna,0
arianne,0
aric,1
aridatha,0
arie,0
arie,1
ariel,0
ariel,1
ariela,0
ariella,0
arielle,0
arietta,0
aristotle,1
arizona,0
arjun,1
arkie,0
arla,0
arlan,1
arlana,0
arland,1
arlee,0
arleen,0
arlen,0
arlen,1
arlena,0
arlene,0
arleta,0
arleth,0
arletta,0
arlette,0
arley,0
arley,1
arleyne,0
arlie,0
arlie,1
arliene,0
arlin,1
arlina,0
arlinda,0
arline,0
arlington,1
arlis,1
arlo,1
arly,0
arlyn,0
arlyn,1
arlyne,0
arman,1
armand,1
armando,1
armani,0
armani,1
armida,0
armin,1
arminda,0
arminta,0
armond,1
armstead,1
armstrong,1
arnav,1
arne,1
arnett,1
arnetta,0
arnie,1
arno,1
arnold,1
arnoldo,1
arnulfo,1
aron,1
arra,0
arrie,0
arron,1
arsenio,1
art,1
arta,0
artelia,0
arther,1
arthor,1
arthur,0
arthur,1
artie,0
artie,1
artis,1
artur,1
arturo,1
arvel,1
arvid,1
arvie,1
arvil,1
arvilla,0
arvin,1
arvind,1
arvo,1
arvy,1
aryan,1
aryana,0
aryanna,0
aryn,0
asa,1
asberry,1
asbury,1
ash,1
asha,0
ashanti,0
ashby,1
ashely,0
asher,1
ashish,1
ashlea,0
ashlee,0
ashleigh,0
ashlen,0
ashley,0
ashley,1
ashli,0
ashlie,0
ashly,0
ashlyn,0
ashlynn,0
ashton,0
ashton,1
ashtyn,0
asia,0
ason,0
aspen,0
assunta,0
astra,0
astrid,0
astrix,0
atalanta,0
atha,0
atha,1
athena,0
athene,0
atlanta,0
atlante,0
atlas,1
atticus,1
attie,0
attilio,1
aub,1
aube,1
aubert,1
auberta,0
aubine,0
aubra,1
aubree,0
aubrette,0
aubrey,0
aubrey,1
aubrie,0
aubry,0
audi,0
audie,0
audie,1
audley,1
audra,0
audre,0
audrey,0
audrey,1
audriana,0
audrianna,0
audrie,0
audrina,0
audry,0
audrye,0
audy,0
audy,1
augie,1
august,1
augusta,0
augusta,1
auguste,0
auguste,1
augustin,1
augustina,0
augustine,0
augustine,1
augusto,1
augustus,1
aura,0
aurea,0
aurel,0
aurelea,0
aurelia,0
aurelie,0
aurelio,1
auria,0
aurie,0
aurilia,0
aurilla,0
aurlie,0
auroora,0
aurora,0
aurore,0
aurthur,1
austen,1
austin,0
austin,1
austina,0
austine,0
auston,1
austyn,1
auther,1
author,1
authur,1
autry,1
autumn,0
ava,0
avah,0
ave,1
aveline,0
averell,1
averi,0
averie,0
averil,0
averil,1
averill,1
avery,0
avery,1
averyl,0
avi,1
avie,0
avis,0
aviva,0
avivah,0
avon,1
avraham,1
avram,1
avril,0
avrit,0
avrom,1
axel,1
ayaan,1
ayana,0
ayanna,0
aydan,1
ayden,1
aydin,1
ayesha,0
ayla,0
aylin,0
aylmer,1
ayn,0
azalee,0
azaria,0
aziz,1
azul,0
azzie,0
bab,0
babara,0
babe,1
babette,0
babita,0
babs,0
baby,0
baby,1
babyboy,1
bailee,0
bailey,0
bailey,1
bailie,1
baillie,1
baily,1
baird,1
baker,1
baldwin,1
ballard,1
bama,0
bambi,0
bambie,0
bamby,0
bancroft,1
banks,1
barb,0
barbabas,1
barbabra,0
barbara,0
barbara,1
barbaraanne,0
barbe,0
barbee,0
barbette,0
barbey,0
barbi,0
barbie,0
barbra,0
barby,0
barclay,1
bard,1
barde,1
bari,0
barn,1
barnabas,1
barnabe,1
barnaby,1
barnard,1
barnebas,1
barnett,1
barney,1
barnie,1
barny,1
baron,1
barr,1
barret,1
barrett,1
barri,1
barrie,0
barrie,1
barris,1
barron,1
barry,0
barry,1
bart,1
bartel,1
barth,1
barthel,1
bartholemy,1
bartholomeo,1
bartholomeus,1
bartholomew,1
bartie,1
bartlet,1
bartlett,1
bartley,1
bartolemo,1
bartolomei,1
bartolomeo,1
barton,1
barty,1
bary,1
bascom,1
basia,0
basil,1
batholomew,1
bathsheba,0
batsheva,0
baxter,1
bay,1
bayard,1
baylee,0
baylie,0
bea,0
beadie,0
beale,1
bealle,1
bear,1
bearnard,1
beatrice,0
beatrice,1
beatrisa,0
beatrix,0
beatriz,0
beau,0
beau,1
beaufort,1
beaulah,0
beauregard,1
bebe,0
becca,0
beck,1
becka,0
beckett,1
beckham,1
becki,0
beckie,0
becky,0
beda,0
bedford,1
bee,0
bee,1
beecher,1
beilul,0
beitris,0
bekki,0
bel,0
bela,1
belen,0
belia,0
belicia,0
belinda,0
belita,0
bell,0
bell,1
bella,0
bellamy,0
bellanca,0
belle,0
bellina,0
belton,1
belva,0
belvia,0
ben,1
bena,0
benard,1
bendite,0
benedetta,0
benedict,1
benedicta,0
benedikta,0
benetta,0
bengt,1
benita,0
benito,1
benjaman,1
benjamen,1
benjamin,1
benjamine,1
benji,1
benjie,1
benjiman,1
benjman,1
benjy,1
benn,1
bennet,1
bennett,1
benni,0
bennie,0
bennie,1
benny,0
benny,1
benoite,0
benson,1
bentley,1
benton,1
beowulf,1
berchtold,1
berdie,0
berenice,0
beret,0
berget,0
berk,1
berke,1
berkeley,1
berkie,1
berkley,1
berlin,1
berna,0
bernadene,0
bernadette,0
bernadina,0
bernadine,0
bernard,1
bernardina,0
bernardine,0
bernardo,1
bernd,1
berneice,0
bernelle,0
bernete,0
bernetta,0
bernette,0
bernhard,1
berni,0
bernice,0
bernice,1
bernie,0
bernie,1
berniece,0
bernita,0
berny,0
berri,0
berrie,0
berry,0
berry,1
bert,0
bert,1
berta,0
berte,0
bertha,0
bertha,1
berthe,0
berti,0
bertie,0
bertie,1
bertina,0
bertine,0
berton,1
bertram,1
bertrand,1
berty,0
beryl,0
beryl,1
beryle,0
bess,0
besse,0
bessie,0
bessie,1
bessy,0
beth,0
betha,0
bethann,0
bethanne,0
bethany,0
bethel,0
bethel,1
bethena,0
bethina,0
bethzy,0
betsey,0
betsy,0
betta,0
bette,0
betteann,0
betteanne,0
betti,0
bettie,0
bettina,0
bettine,0
betty,0
betty,1
bettye,0
bettyjane,0
bettylou,0
beula,0
beulah,0
beulah,1
bev,0
beverie,0
beverlee,0
beverley,0
beverlie,0
beverly,0
beverly,1
bevvy,0
beyonce,0
bharat,1
bianca,0
bianka,0
biddie,0
biddy,0
bidget,0
biff,1
bilal,1
bill,0
bill,1
billi,0
billie,0
billie,1
billy,0
billy,1
billye,0
bina,0
bing,1
binky,1
binni,0
binnie,0
binny,0
bird,0
bird,1
birdella,0
birdie,0
birgit,0
birgitta,0
birt,1
birtha,0
birtie,0
bishop,1
bjorn,1
bjorne,1
blain,1
blaine,1
blair,0
blair,1
blaire,0
blaise,1
blake,0
blake,1
blakelee,0
blakeley,0
blanca,0
blanch,0
blancha,0
blanchard,1
blanche,0
blanche,1
blanchie,0
blane,1
blare,1
blas,1
blayne,1
blaze,1
blinni,0
blinnie,0
blinny,0
bliss,0
bliss,1
blisse,0
blithe,0
blondell,0
blondelle,0
blondie,0
blondy,0
blossom,0
bluford,1
blythe,0
bo,0
bo,1
bob,1
bobbette,0
bobbi,0
bobbie,0
bobbie,1
bobby,0
bobby,1
bobbye,0
bobette,0
bobina,0
bobine,0
bobinette,0
bode,1
bogart,1
bogdan,1
bolden,1
boniface,1
bonita,0
bonnee,0
bonni,0
bonnie,0
bonnie,1
bonny,0
booker,1
boone,1
boris,1
bose,1
boss,1
boston,1
bowman,1
boyce,1
boyd,1
boysie,1
brad,1
braden,1
bradford,1
bradley,1
bradly,1
brady,1
bradyn,1
braeden,1
braedon,1
braelyn,0
braiden,1
brain,1
brana,0
branch,1
brandais,0
brandan,1
brande,0
brandea,0
brandee,0
branden,1
brandi,0
brandice,0
brandie,0
brandin,1
brandise,0
brandon,0
brandon,1
brandt,1
brandy,0
brandy,1
brandyn,1
brannon,1
branson,1
brant,1
brantley,1
braulio,1
braxton,1
brayan,1
brayden,1
braydon,1
braylen,1
braylon,1
brea,0
breana,0
breann,0
breanna,0
breanne,0
brear,0
bree,0
breena,0
bren,0
brena,0
brenda,0
brenda,1
brendan,1
brenden,1
brendon,1
brenn,0
brenna,0
brennan,1
brennen,1
brennon,1
brent,1
brenton,1
breonna,0
bret,1
brett,0
brett,1
brewer,1
brewster,1
bria,0
brian,0
brian,1
briana,0
brianda,0
brianna,0
brianne,0
brice,1
bride,0
bridger,1
bridget,0
bridgett,0
bridgette,0
bridie,0
brielle,0
brien,1
brier,0
brietta,0
brigette,0
briggs,1
brigid,0
brigida,0
brigit,0
brigitta,0
brigitte,0
briley,0
brina,0
brinda,0
briney,0
brinkley,1
briny,0
brion,1
brionna,0
brisa,0
brit,0
brita,0
britaney,0
britani,0
britany,0
briteny,0
britney,0
britni,0
britny,0
britt,0
britt,1
britta,0
brittan,0
brittaney,0
brittani,0
brittanie,0
brittany,0
brittany,1
britte,0
brittnay,0
brittnee,0
brittney,0
brittni,0
brittnie,0
brittny,0
britton,1
brock,1
broddie,1
broddy,1
broderic,1
broderick,1
brodie,1
brody,1
brogan,1
bronson,1
brook,0
brook,1
brooke,0
brooke,1
brooklyn,0
brooklynn,0
brooks,0
brooks,1
brown,1
bruce,1
brunella,0
brunhilda,0
brunhilde,0
bruno,1
bryan,1
bryana,0
bryanna,0
bryant,1
bryce,1
brycen,1
brylee,0
bryn,0
bryn,1
bryna,0
brynlee,0
brynn,0
brynna,0
brynne,0
bryon,1
bryson,1
bryton,1
bubba,1
buck,1
bucky,1
bud,1
budd,1
buddie,1
buddy,1
buel,1
buelah,0
buell,1
buena,0
buffy,0
buford,1
bula,0
bulah,0
buna,0
bunk,1
bunni,0
bunnie,0
bunny,0
burdette,1
buren,1
burgess,1
burk,1
burke,1
burl,1
burleigh,1
burley,1
burnaby,1
burnell,1
burnett,1
burney,1
burnice,0
burnice,1
burnie,1
burns,1
burr,1
burrel,1
burrell,1
burt,1
burta,0
burton,1
bush,1
buster,1
butch,1
butler,1
bynum,1
byram,1
byrd,0
byrd,1
byrdie,0
byron,1
cabrina,0
cacilia,0
cacilie,0
caddie,0
cade,1
caden,1
cadence,0
cael,1
caesar,1
caiden,1
cailyn,0
cain,1
caitlin,0
caitlyn,0
caitlynn,0
caitrin,0
cal,0
cal,1
caldonia,0
caldwell,1
cale,1
caleb,1
caleigh,0
calhoun,1
cali,0
calida,0
calista,0
calla,0
calley,0
calli,0
callida,0
callie,0
callie,1
callum,1
cally,0
calvin,1
calypso,0
cam,0
cam,1
camala,0
camden,1
camel,0
camella,0
camellia,0
cameo,0
cameron,0
cameron,1
cami,0
camila,0
camile,0
camilla,0
camille,0
camille,1
camisha,0
cammi,0
cammie,0
cammy,0
cammy,1
campbell,0
campbell,1
camren,1
camron,1
camryn,0
camryn,1
canada,0
candace,0
candi,0
candice,0
candida,0
candide,0
candido,1
candie,0
candis,0
candra,0
candy,0
candyce,0
cannie,0
cannon,1
canyon,1
cap,1
capitola,0
cappella,0
cappie,0
caprice,0
captain,1
cara,0
caralie,0
caren,0
carena,0
caresa,0
caressa,0
caresse,0
carey,0
carey,1
cari,0
caria,0
carie,0
caril,0
carilyn,0
carin,0
carina,0
carine,0
cariotta,0
carisa,0
carissa,0
carita,0
caritta,0
carl,0
carl,1
carla,0
carlee,0
carleen,0
carleigh,0
carleigh,1
carlen,0
carlena,0
carlene,0
carleton,1
carley,0
carli,0
carlie,0
carlie,1
carlin,0
carlin,1
carlina,0
carline,0
carlisle,0
carlisle,1
carlita,0
carlo,1
carlos,1
carlota,0
carlotta,0
carlton,1
carly,0
carlye,0
carlyle,1
carlyn,0
carlynn,0
carlynne,0
carma,0
carmel,0
carmel,1
carmela,0
carmelia,0
carmelina,0
carmelita,0
carmella,0
carmelle,0
carmelo,1
carmen,0
carmen,1
carmina,0
carmine,0
carmine,1
carmita,0
carmon,0
carnell,1
caro,0
carol,0
carol,1
carola,0
carolan,0
carolann,0
carole,0
carolee,0
caroleen,0
carolie,0
carolin,0
carolina,0
caroline,0
caroline,1
caroljean,0
carolyn,0
carolyn,1
carolyne,0
carolynn,0
caron,0
carra,0
carree,0
carri,0
carrie,0
carrie,1
carrissa,0
carrol,0
carrol,1
carroll,0
carroll,1
carry,0
carsen,1
carson,0
carson,1
carsten,1
carter,1
cary,0
cary,1
caryl,0
caryl,1
caryn,0
cas,1
casandra,0
case,1
casey,0
casey,1
cash,1
casi,0
casia,0
casie,0
casimer,1
casimir,1
casimiro,1
cason,1
caspar,1
casper,1
cass,0
cass,1
cassandra,0
cassandre,0
cassandry,0
cassaundra,0
cassey,0
cassi,0
cassidy,0
cassidy,1
cassie,0
cassie,1
cassius,1
cassondra,0
cassy,0
caswell,1
cat,0
cat,1
catalina,0
catarina,0
cate,0
caterina,0
catha,0
catharina,0
catharine,0
cathe,0
cathee,0
catherin,0
catherina,0
catherine,0
catherine,1
cathern,0
cathey,0
cathi,0
cathie,0
cathleen,0
cathlene,0
cathrin,0
cathrine,0
cathryn,0
cathy,0
cathyleen,0
cati,0
catie,0
catina,0
catlaina,0
catlee,0
catlin,0
cato,1
catrina,0
catriona,0
caty,0
cayden,1
cayla,0
caylee,0
ceasar,1
cecelia,0
cecil,0
cecil,1
cecile,0
ceciley,0
cecilia,0
cecilla,0
cecily,0
cedric,1
cedrick,1
ceil,0
cele,0
celena,0
celene,0
celesta,0
celeste,0
celestia,0
celestina,0
celestine,0
celestino,1
celestyn,0
celestyna,0
celia,0
celie,0
celina,0
celinda,0
celine,0
celinka,0
celisse,0
celle,0
cena,0
ceola,0
cephus,1
cesar,1
cesya,0
ceylon,1
chace,1
chad,0
chad,1
chadd,1
chaddie,1
chaddy,1
chadrick,1
chadwick,1
chaim,1
chaka,0
chalmer,1
chalmers,1
champ,1
chan,1
chana,0
chance,1
chancey,1
chancy,1
chanda,0
chandal,0
chanderjit,1
chandler,0
chandler,1
chandra,0
chane,1
chanel,0
chanelle,0
chaney,0
chanie,0
channa,0
channie,0
channing,0
channing,1
chantal,0
chantalle,0
chante,0
chantel,0
chantelle,0
charil,0
charin,0
chariot,1
charis,0
charissa,0
charisse,0
charita,0
charity,0
charla,0
charle,1
charlean,0
charlee,0
charleen,0
charlena,0
charlene,0
charles,0
charles,1
charleton,1
charley,1
charlie,0
charlie,1
charline,0
charlize,0
charlot,0
charlott,0
charlotta,0
charlotte,0
charlottie,0
charls,1
charlsie,0
charlton,1
charly,1
charmain,0
charmaine,0
charmane,0
charmian,0
charmine,0
charmion,0
charo,0
charolette,0
charyl,0
chas,1
chase,0
chase,1
chasity,0
chastity,0
chaunce,1
chauncey,1
chauncy,1
chaya,0
chaz,1
che,1
chelsae,0
chelsea,0
chelsey,0
chelsi,0
chelsie,0
chelsy,0
chelton,1
chen,1
cher,0
chere,0
cherelle,0
cherey,0
cheri,0
cherianne,0
cherice,0
cherida,0
cherie,0
cherilyn,0
cherilynn,0
cherin,0
cherise,0
cherish,0
cherlyn,0
cherrelle,0
cherri,0
cherrie,0
cherrita,0
cherry,0
cherryl,0
chery,0
cherye,0
cheryl,0
cheryl,1
cheryle,0
cheryll,0
chesley,1
cheslie,0
chessie,0
chester,0
chester,1
chestina,0
cheston,1
chet,1
chev,1
chevalier,1
chevy,1
cheyanne,0
cheyenne,0
cheyenne,1
chiarra,0
chickie,0
chicky,0
chimere,0
chin,1
china,0
chip,1
chiquita,0
chloe,0
chloette,0
chloie,0
chloris,0
chris,0
chris,1
chriss,0
chrissa,0
chrissie,0
chrissy,0
chrissy,1
christ,1
christa,0
christabel,0
christabella,0
christabelle,0
christal,0
christalle,0
christan,0
christean,0
christeen,0
christel,0
christen,0
christena,0
christene,0
christi,0
christian,0
christian,1
christiana,0
christiane,0
christiano,1
christie,0
christie,1
christin,0
christina,0
christina,1
christine,0
christion,1
christof,1
christofer,1
christop,1
christoper,1
christoph,1
christophe,1
christopher,0
christopher,1
christorpher,1
christos,1
christy,0
christy,1
christyna,0
chrisy,1
chrysa,0
chrysler,0
chrystal,0
chryste,0
chrystel,0
chuck,1
churchill,1
chyna,0
chynna,0
ciara,0
ciarra,0
cicely,0
cicero,1
cicily,0
ciel,0
cielo,0
ciera,0
cierra,0
ciji,0
cilka,0
cilla,0
cinda,0
cindee,0
cindelyn,0
cinderella,0
cindi,0
cindie,0
cindra,0
cindy,0
cinnamon,0
cinthia,0
cissie,0
cissy,0
citlali,0
citlalli,0
clabe,1
claiborne,1
clair,0
clair,1
claire,0
claire,1
clancy,1
clara,0
clara,1
clarabelle,0
clarance,1
clare,0
clare,1
clarence,0
clarence,1
claresta,0
clareta,0
claretta,0
clarette,0
clarey,0
clari,0
claribel,0
clarice,0
clarie,0
clarinda,0
clarine,0
clarisa,0
clarissa,0
clarisse,0
clarita,0
clark,1
clarke,1
clarnce,1
clary,0
classie,0
claud,1
claude,0
claude,1
claudelle,0
claudetta,0
claudette,0
claudia,0
claudie,0
claudie,1
claudina,0
claudine,0
claudio,1
claudius,1
claus,1
clay,1
clayborn,1
clayborne,1
claybourne,1
clayton,1
clea,0
clearence,1
cleave,1
cleda,0
cleland,1
clell,1
clella,0
clem,0
clem,1
clemence,0
clemence,1
clemens,1
clement,1
clemente,1
clementia,0
clementina,0
clementine,0
clemie,0
clemma,0
clemmie,0
clemmie,1
clemmy,0
clemon,1
cleo,0
cleo,1
cleola,0
cleon,1
cleone,0
cleopatra,0
cleora,0
clerissa,0
cleta,0
cletus,1
cleva,0
cleve,1
cleveland,1
clevie,0
clide,1
cliff,1
cliffie,0
clifford,0
clifford,1
clifton,1
clint,1
clinten,1
clinton,1
clio,0
clive,1
clo,0
cloe,0
clora,0
cloris,0
clotilda,0
clotilde,0
clovis,0
clovis,1
cloyd,1
clyda,0
clyde,0
clyde,1
clydie,0
clytie,0
cob,1
cobb,1
cobbie,1
cobby,1
coby,1
codee,0
codey,1
codi,0
codi,1
codie,0
codie,1
cody,0
cody,1
coen,1
cohen,1
colbert,1
colby,1
cole,1
coleen,0
coleman,1
colene,0
coleton,1
coletta,0
colette,0
coley,1
colie,1
colin,1
colleen,0
collete,0
collette,0
collie,0
collie,1
collier,1
collin,1
colline,0
collins,1
collis,1
colly,0
colon,1
colonel,1
colt,1
colten,1
colter,1
colton,1
columbia,0
columbus,1
colvin,1
commodore,1
con,0
con,1
conan,1
conard,1
concepcion,0
concetta,0
concettina,0
concha,0
conchita,0
concordia,0
conley,1
conner,1
conney,0
conni,0
connie,0
connie,1
connolly,1
connor,1
conny,0
conor,1
conrad,1
conroy,1
consolata,0
constance,0
constancia,0
constancy,0
constanta,0
constantia,0
constantin,1
constantina,0
constantine,0
constantine,1
constantinos,1
consuela,0
consuelo,0
contina,0
conway,1
cookie,0
coolidge,1
cooper,1
cora,0
cora,1
corabel,0
corabella,0
corabelle,0
coraima,0
coral,0
coralie,0
coraline,0
coralyn,0
corbett,1
corbin,1
corby,1
corda,0
cordaro,1
cordelia,0
cordelie,0
cordell,1
cordella,0
cordero,1
cordey,0
cordia,0
cordie,0
cordula,0
